"ELEM_ID","ELEM_NAME","S_FROM_IP1","S_FROM_CLOSEST_IP","U","V","ELEMENT_APERTURE_ID","ELEM_APERTURE","ELEM_ELLIPSE_PARAM_A","ELEM_ELLIPSE_PARAM_B","ELEM_ELLIPSE_PARAM_C","ELEM_ELLIPSE_PARAM_D","BEAM","IP_NAME","HALF_CELL"
"378063","BPM.7L1.B2","26390.1192","-268.764","-0.097","0","54745056","E","0.024","0.024","0.024","0.024","B2","ip1","7L1"
"378062","BPMR.7L1.B1","26390.1192","-268.764","0.097","0","54745054","I","0.024","0.024","0.024","0.024","B1","ip1","7L1"
"378062","BPMR.7L1.B1","26390.5786","-268.3046","0.097","0","54745055","I","0.024","0.024","0.024","0.024","B1","ip1","7L1"
"378063","BPM.7L1.B2","26390.5786","-268.3046","-0.097","0","54745057","E","0.024","0.024","0.024","0.024","B2","ip1","7L1"
"391930","VSSB.7L1.B","26390.60961","-268.27359","0.097","0","54746679","I","0.01714","0.02202","0.02202","0.02202","B1","ip1","7L1"
"391931","VSSB.7L1.R","26390.60961","-268.27359","-0.097","0","54746681","E","0.02202","0.01714","0.02202","0.02202","B2","ip1","7L1"
"391930","VSSB.7L1.B","26400.04481","-258.83839","0.097","0","54746680","I","0.01714","0.02202","0.02202","0.02202","B1","ip1","7L1"
"391931","VSSB.7L1.R","26400.04481","-258.83839","-0.097","0","54746682","E","0.02202","0.01714","0.02202","0.02202","B2","ip1","7L1"
"396225","VSSG.7L1.B","26400.2399","-258.6433","0.097","0","54746779","I","0.029","0.0241","0.029","0.029","B1","ip1","7L1"
"396226","VSSG.7L1.R","26400.2399","-258.6433","-0.097","0","54746781","E","0.029","0.0241","0.029","0.029","B2","ip1","7L1"
"396225","VSSG.7L1.B","26401.942","-256.9412","0.097","0","54746780","I","0.029","0.0241","0.029","0.029","B1","ip1","7L1"
"396226","VSSG.7L1.R","26401.942","-256.9412","-0.097","0","54746782","E","0.029","0.0241","0.029","0.029","B2","ip1","7L1"
"272538","VABBG.7L1.C","26402.2742","-256.609","-0.097","0","54744179","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","7L1"
"1616436","VFCDO.B7L1.R","26402.2742","-256.609","-0.097","0","54759895","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","7L1"
"1616443","VFCDO.B7L1.B","26402.2742","-256.609","0.097","0","54759909","I","0.0315","0.0315","0.0315","0.0315","B1","ip1","7L1"
"272538","VABBG.7L1.C","26402.2742","-256.609","0.097","0","54744180","I","0.0315","0.0315","0.0315","0.0315","B1","ip1","7L1"
"1616443","VFCDO.B7L1.B","26402.2942","-256.589","0.097","0","54759910","I","0.0315","0.0315","0.0315","0.0315","B1","ip1","7L1"
"1616436","VFCDO.B7L1.R","26402.2942","-256.589","-0.097","0","54759896","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","7L1"
"1053657","VMACD.7L1.R","26402.6292","-256.254","-0.097","0","54758763","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","7L1"
"1053641","VMACC.7L1.B","26402.6292","-256.254","0.097","0","54758747","I","0.0315","0.0315","0.0315","0.0315","B1","ip1","7L1"
"272538","VABBG.7L1.C","26402.9292","-255.954","0.097","0","54744182","I","0.04","0.04","0.04","0.04","B1","ip1","7L1"
"1053641","VMACC.7L1.B","26402.9292","-255.954","0.097","0","54758748","I","0.04","0.04","0.04","0.04","B1","ip1","7L1"
"1053657","VMACD.7L1.R","26402.9292","-255.954","-0.097","0","54758764","E","0.04","0.04","0.04","0.04","B2","ip1","7L1"
"272538","VABBG.7L1.C","26402.9292","-255.954","-0.097","0","54744181","E","0.04","0.04","0.04","0.04","B2","ip1","7L1"
"272539","VCDCK.7L1.R","26402.9292","-255.954","-0.097","0","54744183","E","0.04","0.04","0.04","0.04","B2","ip1","7L1"
"272540","VCDCK.7L1.B","26402.9292","-255.954","0.097","0","54744185","I","0.04","0.04","0.04","0.04","B1","ip1","7L1"
"272539","VCDCK.7L1.R","26408.2292","-250.654","-0.097","0","54744184","E","0.04","0.04","0.04","0.04","B2","ip1","7L1"
"272540","VCDCK.7L1.B","26408.2292","-250.654","0.097","0","54744186","I","0.04","0.04","0.04","0.04","B1","ip1","7L1"
"272542","VMAAB.7L1.B","26408.2292","-250.654","0.097","0","54744187","I","0.04","0.04","0.04","0.04","B1","ip1","7L1"
"272542","VMAAB.7L1.B","26408.5292","-250.354","0.097","0","54744188","I","0.04","0.04","0.04","0.04","B1","ip1","7L1"
"272544","VCDEM.7L1.B","26408.5292","-250.354","0.097","0","54744191","I","0.04","0.04","0.04","0.04","B1","ip1","7L1"
"272543","VCDEM.7L1.R","26408.5312","-250.352","-0.097","0","54744189","E","0.04","0.04","0.04","0.04","B2","ip1","7L1"
"272544","VCDEM.7L1.B","26412.4152","-246.468","0.097","0","54744192","I","0.04","0.04","0.04","0.04","B1","ip1","7L1"
"2351572","VMAAE.A7L1.B","26412.4152","-246.468","0.097","0","54760561","I","0.04","0.04","0.04","0.04","B1","ip1","7L1"
"272546","VAMVD.7L1.B","26412.4152","-246.468","0.097","0","54744193","I","0.04","0.04","0.04","0.04","B1","ip1","7L1"
"272543","VCDEM.7L1.R","26412.4172","-246.466","-0.097","0","54744190","E","0.04","0.04","0.04","0.04","B2","ip1","7L1"
"963602","VMAAF.7L1.R","26412.4172","-246.466","-0.097","0","54757239","E","0.04","0.04","0.04","0.04","B2","ip1","7L1"
"2351572","VMAAE.A7L1.B","26412.7152","-246.168","0.097","0","54760562","I","0.04","0.04","0.04","0.04","B1","ip1","7L1"
"272546","VAMVD.7L1.B","26412.7152","-246.168","0.097","0","54744194","I","0.04","0.04","0.04","0.04","B1","ip1","7L1"
"272548","VCDEN.7L1.B","26412.7152","-246.168","0.097","0","54744195","I","0.04","0.04","0.04","0.04","B1","ip1","7L1"
"963602","VMAAF.7L1.R","26412.7172","-246.166","-0.097","0","54757240","E","0.04","0.04","0.04","0.04","B2","ip1","7L1"
"383714","VMAAA.D7L1.R","26413.4372","-245.446","-0.097","0","54745247","E","0.04","0.04","0.04","0.04","B2","ip1","7L1"
"383714","VMAAA.D7L1.R","26413.6372","-245.246","-0.097","0","54745248","E","0.04","0.04","0.04","0.04","B2","ip1","7L1"
"6738835","VCDEY.A7L1.R","26413.6372","-245.246","-0.097","0","54764842","E","0.04","0.04","0.04","0.04","B2","ip1","7L1"
"272548","VCDEN.7L1.B","26416.9352","-241.948","0.097","0","54744196","I","0.04","0.04","0.04","0.04","B1","ip1","7L1"
"383697","VMAAA.B7L1.B","26416.9352","-241.948","0.097","0","54745213","I","0.04","0.04","0.04","0.04","B1","ip1","7L1"
"383697","VMAAA.B7L1.B","26417.1352","-241.748","0.097","0","54745214","I","0.04","0.04","0.04","0.04","B1","ip1","7L1"
"383698","VCDCP.7L1.B","26417.1352","-241.748","0.097","0","54745215","I","0.04","0.04","0.04","0.04","B1","ip1","7L1"
"6738835","VCDEY.A7L1.R","26417.5552","-241.328","-0.097","0","54764843","E","0.04","0.04","0.04","0.04","B2","ip1","7L1"
"383715","VMAAA.C7L1.R","26417.5552","-241.328","-0.097","0","54745249","E","0.04","0.04","0.04","0.04","B2","ip1","7L1"
"383715","VMAAA.C7L1.R","26417.7552","-241.128","-0.097","0","54745250","E","0.04","0.04","0.04","0.04","B2","ip1","7L1"
"383716","VCDBL.7L1.R","26417.7552","-241.128","-0.097","0","54745251","E","0.04","0.04","0.04","0.04","B2","ip1","7L1"
"383716","VCDBL.7L1.R","26420.7902","-238.093","-0.097","0","54745252","E","0.04","0.04","0.04","0.04","B2","ip1","7L1"
"383717","VMAAA.B7L1.R","26420.7902","-238.093","-0.097","0","54745253","E","0.04","0.04","0.04","0.04","B2","ip1","7L1"
"826795","BPMSX.7L1.B2","26420.9902","-237.893","-0.097","0","55498862","E","0.04","0.04","0.04","0.04","B2","ip1","7L1"
"383717","VMAAA.B7L1.R","26420.9902","-237.893","-0.097","0","54745254","E","0.04","0.04","0.04","0.04","B2","ip1","7L1"
"826795","BPMSX.7L1.B2","26420.9902","-237.893","-0.097","0","54755963","E","0.04","0.04","0.04","0.04","B2","ip1","7L1"
"826795","BPMSX.7L1.B2","26421.2752","-237.608","-0.097","0","54755964","E","0.04","0.04","0.04","0.04","B2","ip1","7L1"
"826795","BPMSX.7L1.B2","26421.2752","-237.608","-0.097","0","55498863","E","0.04","0.04","0.04","0.04","B2","ip1","7L1"
"383698","VCDCP.7L1.B","26421.6952","-237.188","0.097","0","54745216","I","0.04","0.04","0.04","0.04","B1","ip1","7L1"
"272549","VMAAA.A7L1.R","26421.6952","-237.188","-0.097","0","54744197","E","0.04","0.04","0.04","0.04","B2","ip1","7L1"
"272550","VMAAA.A7L1.B","26421.6952","-237.188","0.097","0","54744199","I","0.04","0.04","0.04","0.04","B1","ip1","7L1"
"272549","VMAAA.A7L1.R","26421.8952","-236.988","-0.097","0","54744198","E","0.04","0.04","0.04","0.04","B2","ip1","7L1"
"272550","VMAAA.A7L1.B","26421.8952","-236.988","0.097","0","54744200","I","0.04","0.04","0.04","0.04","B1","ip1","7L1"
"272551","VCDDE.7L1.R","26421.8952","-236.988","-0.097","0","54744201","E","0.04","0.04","0.04","0.04","B2","ip1","7L1"
"272552","VCDDE.7L1.B","26421.8952","-236.988","0.097","0","54744203","I","0.04","0.04","0.04","0.04","B1","ip1","7L1"
"272552","VCDDE.7L1.B","26425.4202","-233.463","0.097","0","54744204","I","0.04","0.04","0.04","0.04","B1","ip1","7L1"
"272551","VCDDE.7L1.R","26425.4202","-233.463","-0.097","0","54744202","E","0.04","0.04","0.04","0.04","B2","ip1","7L1"
"1053371","VMACC.7L1.R","26425.4202","-233.463","-0.097","0","54758331","E","0.04","0.04","0.04","0.04","B2","ip1","7L1"
"1053387","VMAND.7L1.B","26425.4202","-233.463","0.097","0","54758363","I","0.04","0.04","0.04","0.04","B1","ip1","7L1"
"1053371","VMACC.7L1.R","26425.7102","-233.173","-0.097","0","54758332","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","7L1"
"1053387","VMAND.7L1.B","26425.7102","-233.173","0.097","0","54758364","I","0.05","0.05","0.05","0.05","B1","ip1","7L1"
"641284","VVGSH.7L1.B","26425.7102","-233.173","0.097","0","54755083","I","0.05","0.05","0.05","0.05","B1","ip1","7L1"
"641262","VVGST.A7L1.R","26425.7152","-233.168","-0.097","0","54755043","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","7L1"
"641262","VVGST.A7L1.R","26425.7902","-233.093","-0.097","0","54755044","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","7L1"
"641284","VVGSH.7L1.B","26425.7952","-233.088","0.097","0","54755084","I","0.05","0.05","0.05","0.05","B1","ip1","7L1"
"1053355","VMABD.7L1.R","26425.7952","-233.088","-0.097","0","54758299","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","7L1"
"1053403","VMAOC.7L1.B","26425.7952","-233.088","0.097","0","54758395","I","0.05","0.05","0.05","0.05","B1","ip1","7L1"
"1053355","VMABD.7L1.R","26426.0552","-232.828","-0.097","0","54758300","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","7L1"
"1053403","VMAOC.7L1.B","26426.0552","-232.828","0.097","0","54758396","I","0.0315","0.0315","0.0315","0.0315","B1","ip1","7L1"
"1653821","VFCDO.A7L1.R","26426.0552","-232.828","-0.097","0","54760279","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","7L1"
"1653824","VFCDO.A7L1.B","26426.0552","-232.828","0.097","0","54760287","I","0.0315","0.0315","0.0315","0.0315","B1","ip1","7L1"
"1653821","VFCDO.A7L1.R","26426.0752","-232.808","-0.097","0","54760280","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","7L1"
"1653824","VFCDO.A7L1.B","26426.0752","-232.808","0.097","0","54760288","I","0.0315","0.0315","0.0315","0.0315","B1","ip1","7L1"
"391932","VSSB.6L1.B","26426.416943","-232.466257","0.097","0","54746683","I","0.0226","0.0177","0.0226","0.0226","B1","ip1","6L1"
"391933","VSSB.6L1.R","26426.416943","-232.466257","-0.097","0","54746685","E","0.0177","0.0226","0.0226","0.0226","B2","ip1","6L1"
"391932","VSSB.6L1.B","26433.483343","-225.399857","0.097","0","54746684","I","0.0226","0.0177","0.0226","0.0226","B1","ip1","6L1"
"391933","VSSB.6L1.R","26433.483343","-225.399857","-0.097","0","54746686","E","0.0177","0.0226","0.0226","0.0226","B2","ip1","6L1"
"378064","BPM.6L1.B1","26433.5138","-225.3694","0.097","0","54745058","I","0.024","0.024","0.024","0.024","B1","ip1","6L1"
"378065","BPMR.6L1.B2","26433.5138","-225.3694","-0.097","0","54745060","E","0.024","0.024","0.024","0.024","B2","ip1","6L1"
"378065","BPMR.6L1.B2","26433.9732","-224.91","-0.097","0","54745061","E","0.024","0.024","0.024","0.024","B2","ip1","6L1"
"378064","BPM.6L1.B1","26433.9732","-224.91","0.097","0","54745059","I","0.024","0.024","0.024","0.024","B1","ip1","6L1"
"272554","VABSB.6L1.C","26434.3042","-224.579","0.097","0","54744210","I","0.0315","0.0315","0.0315","0.0315","B1","ip1","6L1"
"1652407","VFCDO.A6L1.B","26434.3042","-224.579","0.097","0","54760035","I","0.0315","0.0315","0.0315","0.0315","B1","ip1","6L1"
"1652403","VFCDO.A6L1.R","26434.3042","-224.579","-0.097","0","54760031","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","6L1"
"272554","VABSB.6L1.C","26434.3042","-224.579","-0.097","0","54744209","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","6L1"
"1652403","VFCDO.A6L1.R","26434.3242","-224.559","-0.097","0","54760032","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","6L1"
"1652407","VFCDO.A6L1.B","26434.3242","-224.559","0.097","0","54760036","I","0.0315","0.0315","0.0315","0.0315","B1","ip1","6L1"
"1053105","VMABD.6L1.B","26434.3242","-224.559","0.097","0","54757895","I","0.0315","0.0315","0.0315","0.0315","B1","ip1","6L1"
"1053101","VMABC.6L1.R","26434.3242","-224.559","-0.097","0","54757891","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","6L1"
"1053105","VMABD.6L1.B","26434.5842","-224.299","0.097","0","54757896","I","0.0315","0.0315","0.0315","0.0315","B1","ip1","6L1"
"1053101","VMABC.6L1.R","26434.5842","-224.299","-0.097","0","54757892","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","6L1"
"641013","VVGST.B6L1.R","26434.5842","-224.299","-0.097","0","54754819","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","6L1"
"641017","VVGST.6L1.B","26434.5842","-224.299","0.097","0","54754823","I","0.0315","0.0315","0.0315","0.0315","B1","ip1","6L1"
"641013","VVGST.B6L1.R","26434.6592","-224.224","-0.097","0","54754820","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","6L1"
"641017","VVGST.6L1.B","26434.6592","-224.224","0.097","0","54754824","I","0.0315","0.0315","0.0315","0.0315","B1","ip1","6L1"
"1053109","VMACC.6L1.B","26434.6592","-224.224","0.097","0","54757899","I","0.0315","0.0315","0.0315","0.0315","B1","ip1","6L1"
"1053113","VMACD.6L1.R","26434.6592","-224.224","-0.097","0","54757903","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","6L1"
"272554","VABSB.6L1.C","26434.9592","-223.924","0.097","0","54744212","I","0.04","0.04","0.04","0.04","B1","ip1","6L1"
"1053109","VMACC.6L1.B","26434.9592","-223.924","0.097","0","54757900","I","0.04","0.04","0.04","0.04","B1","ip1","6L1"
"1053113","VMACD.6L1.R","26434.9592","-223.924","-0.097","0","54757904","E","0.04","0.04","0.04","0.04","B2","ip1","6L1"
"272554","VABSB.6L1.C","26434.9592","-223.924","-0.097","0","54744211","E","0.04","0.04","0.04","0.04","B2","ip1","6L1"
"272556","VCDA.C6L1.B","26434.9592","-223.924","0.097","0","54744213","I","0.04","0.04","0.04","0.04","B1","ip1","6L1"
"12962616","VAMTY.A6L1.R","26438.0632","-220.82","-0.097","0","54764877","E","0.04","0.04","0.04","0.04","B2","ip1","6L1"
"14297352","VMTQA.A6L1.R","26438.0632","-220.82","-0.097","0","54765059","E","0.04","0.04","0.04","0.04","B2","ip1","6L1"
"12962616","VAMTY.A6L1.R","26438.5232","-220.36","-0.097","0","54764878","E","0.04","0.04","0.04","0.04","B2","ip1","6L1"
"14297352","VMTQA.A6L1.R","26438.5232","-220.36","-0.097","0","54765060","E","0.04","0.04","0.04","0.04","B2","ip1","6L1"
"12962633","TCL.6L1.B2","26438.5232","-220.36","-0.097","0","54764885","E","0.03","0.04","0.04","0.04","B2","ip1","6L1"
"12962633","TCL.6L1.B2","26440.0032","-218.88","-0.097","0","54764886","E","0.03","0.04","0.04","0.04","B2","ip1","6L1"
"14297356","VMTND.A6L1.R","26440.0032","-218.88","-0.097","0","54765061","E","0.04","0.04","0.04","0.04","B2","ip1","6L1"
"14297356","VMTND.A6L1.R","26440.5232","-218.36","-0.097","0","54765062","E","0.04","0.04","0.04","0.04","B2","ip1","6L1"
"39831365","BPMSA.A6L1.B2","26440.5232","-218.36","-0.097","0","54765235","E","0.04","0.04","0.04","0.04","B2","ip1","6L1"
"39831365","BPMSA.A6L1.B2","26440.8082","-218.075","-0.097","0","54765236","E","0.04","0.04","0.04","0.04","B2","ip1","6L1"
"272557","VMAAA.B6L1.R","26441.1402","-217.743","-0.097","0","54744217","E","0.04","0.04","0.04","0.04","B2","ip1","6L1"
"272557","VMAAA.B6L1.R","26441.3402","-217.543","-0.097","0","54744218","E","0.04","0.04","0.04","0.04","B2","ip1","6L1"
"272559","VCDA.B6L1.R","26441.3402","-217.543","-0.097","0","54744223","E","0.04","0.04","0.04","0.04","B2","ip1","6L1"
"272556","VCDA.C6L1.B","26441.9592","-216.924","0.097","0","54744214","I","0.04","0.04","0.04","0.04","B1","ip1","6L1"
"272558","VMAAB.B6L1.B","26441.9592","-216.924","0.097","0","54744219","I","0.04","0.04","0.04","0.04","B1","ip1","6L1"
"272558","VMAAB.B6L1.B","26442.2592","-216.624","0.097","0","54744220","I","0.04","0.04","0.04","0.04","B1","ip1","6L1"
"272560","VCDA.B6L1.B","26442.2592","-216.624","0.097","0","54744225","I","0.04","0.04","0.04","0.04","B1","ip1","6L1"
"272559","VCDA.B6L1.R","26448.3402","-210.543","-0.097","0","54744224","E","0.04","0.04","0.04","0.04","B2","ip1","6L1"
"272561","VAMVD.6L1.R","26448.3402","-210.543","-0.097","0","54744229","E","0.04","0.04","0.04","0.04","B2","ip1","6L1"
"272561","VAMVD.6L1.R","26448.6402","-210.243","-0.097","0","54744230","E","0.04","0.04","0.04","0.04","B2","ip1","6L1"
"39828337","VCDDM.A6L1.R","26448.6402","-210.243","-0.097","0","54765225","E","0.04","0.04","0.04","0.04","B2","ip1","6L1"
"272560","VCDA.B6L1.B","26449.2592","-209.624","0.097","0","54744226","I","0.04","0.04","0.04","0.04","B1","ip1","6L1"
"963604","VMAAE.B6L1.R","26449.2592","-209.624","-0.097","0","54757243","E","0.04","0.04","0.04","0.04","B2","ip1","6L1"
"964082","VMAAF.6L1.B","26449.2592","-209.624","0.097","0","54757357","I","0.04","0.04","0.04","0.04","B1","ip1","6L1"
"272562","VAMWD.6L1.B","26449.2592","-209.624","0.097","0","54744231","I","0.04","0.04","0.04","0.04","B1","ip1","6L1"
"963604","VMAAE.B6L1.R","26449.5592","-209.324","-0.097","0","54757244","E","0.04","0.04","0.04","0.04","B2","ip1","6L1"
"964082","VMAAF.6L1.B","26449.5592","-209.324","0.097","0","54757358","I","0.04","0.04","0.04","0.04","B1","ip1","6L1"
"272562","VAMWD.6L1.B","26449.5592","-209.324","0.097","0","54744232","I","0.04","0.04","0.04","0.04","B1","ip1","6L1"
"272564","VCDA.A6L1.B","26449.5592","-209.324","0.097","0","54744235","I","0.04","0.04","0.04","0.04","B1","ip1","6L1"
"39828337","VCDDM.A6L1.R","26452.3082","-206.575","-0.097","0","54765226","E","0.04","0.04","0.04","0.04","B2","ip1","6L1"
"272565","VMAAB.A6L1.R","26452.3082","-206.575","-0.097","0","54744239","E","0.04","0.04","0.04","0.04","B2","ip1","6L1"
"272565","VMAAB.A6L1.R","26452.6082","-206.275","-0.097","0","54744240","E","0.04","0.04","0.04","0.04","B2","ip1","6L1"
"39828336","VCDHA.A6L1.R","26452.6082","-206.275","-0.097","0","54765223","E","0.04","0.04","0.04","0.04","B2","ip1","6L1"
"39828336","VCDHA.A6L1.R","26452.8932","-205.99","-0.097","0","54765224","E","0.04","0.04","0.04","0.04","B2","ip1","6L1"
"39829112","VMAAE.A6L1.R","26453.2252","-205.658","-0.097","0","54765227","E","0.04","0.04","0.04","0.04","B2","ip1","6L1"
"39829112","VMAAE.A6L1.R","26453.5252","-205.358","-0.097","0","54765228","E","0.04","0.04","0.04","0.04","B2","ip1","6L1"
"272567","VCDCJ.6L1.R","26453.5252","-205.358","-0.097","0","54744245","E","0.04","0.04","0.04","0.04","B2","ip1","6L1"
"272564","VCDA.A6L1.B","26456.5592","-202.324","0.097","0","54744236","I","0.04","0.04","0.04","0.04","B1","ip1","6L1"
"272566","VMAAB.A6L1.B","26456.5592","-202.324","0.097","0","54744241","I","0.04","0.04","0.04","0.04","B1","ip1","6L1"
"272566","VMAAB.A6L1.B","26456.8592","-202.024","0.097","0","54744242","I","0.04","0.04","0.04","0.04","B1","ip1","6L1"
"272568","VCDDD.6L1.B","26456.8592","-202.024","0.097","0","54744247","I","0.04","0.04","0.04","0.04","B1","ip1","6L1"
"272568","VCDDD.6L1.B","26457.3202","-201.563","0.097","0","54744248","I","0.04","0.04","0.04","0.04","B1","ip1","6L1"
"272567","VCDCJ.6L1.R","26457.3202","-201.563","-0.097","0","54744246","E","0.04","0.04","0.04","0.04","B2","ip1","6L1"
"1053373","VMACC.6L1.R","26457.3202","-201.563","-0.097","0","54758335","E","0.04","0.04","0.04","0.04","B2","ip1","6L1"
"1053389","VMAND.6L1.B","26457.3202","-201.563","0.097","0","54758367","I","0.04","0.04","0.04","0.04","B1","ip1","6L1"
"1053389","VMAND.6L1.B","26457.6102","-201.273","0.097","0","54758368","I","0.05","0.05","0.05","0.05","B1","ip1","6L1"
"1053373","VMACC.6L1.R","26457.6102","-201.273","-0.097","0","54758336","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","6L1"
"641286","VVGSH.6L1.B","26457.6102","-201.273","0.097","0","54755087","I","0.05","0.05","0.05","0.05","B1","ip1","6L1"
"641264","VVGST.A6L1.R","26457.6152","-201.268","-0.097","0","54755047","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","6L1"
"641264","VVGST.A6L1.R","26457.6902","-201.193","-0.097","0","54755048","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","6L1"
"641286","VVGSH.6L1.B","26457.6952","-201.188","0.097","0","54755088","I","0.05","0.05","0.05","0.05","B1","ip1","6L1"
"1053405","VMAOC.6L1.B","26457.6952","-201.188","0.097","0","54758399","I","0.05","0.05","0.05","0.05","B1","ip1","6L1"
"1053357","VMABD.6L1.R","26457.6952","-201.188","-0.097","0","54758303","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","6L1"
"1053357","VMABD.6L1.R","26457.9552","-200.928","-0.097","0","54758304","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","6L1"
"1053405","VMAOC.6L1.B","26457.9552","-200.928","0.097","0","54758400","I","0.0315","0.0315","0.0315","0.0315","B1","ip1","6L1"
"1653826","VFCDO.B6L1.B","26457.9552","-200.928","0.097","0","54760291","I","0.0315","0.0315","0.0315","0.0315","B1","ip1","6L1"
"1653822","VFCDO.B6L1.R","26457.9552","-200.928","-0.097","0","54760283","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","6L1"
"1653826","VFCDO.B6L1.B","26457.9752","-200.908","0.097","0","54760292","I","0.0315","0.0315","0.0315","0.0315","B1","ip1","6L1"
"1653822","VFCDO.B6L1.R","26457.9752","-200.908","-0.097","0","54760284","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","6L1"
"391935","VSSB.5L1.R","26458.316943","-200.566257","-0.097","0","54746689","E","0.0226","0.0177","0.0226","0.0226","B2","ip1","5L1"
"391934","VSSB.5L1.B","26458.316943","-200.566257","0.097","0","54746687","I","0.0177","0.0226","0.0226","0.0226","B1","ip1","5L1"
"391935","VSSB.5L1.R","26465.383343","-193.499857","-0.097","0","54746690","E","0.0226","0.0177","0.0226","0.0226","B2","ip1","5L1"
"391934","VSSB.5L1.B","26465.383343","-193.499857","0.097","0","54746688","I","0.0177","0.0226","0.0226","0.0226","B1","ip1","5L1"
"378066","BPMR.5L1.B1","26465.4138","-193.4694","0.097","0","54745062","I","0.024","0.024","0.024","0.024","B1","ip1","5L1"
"378067","BPM.5L1.B2","26465.4138","-193.4694","-0.097","0","54745064","E","0.024","0.024","0.024","0.024","B2","ip1","5L1"
"378066","BPMR.5L1.B1","26465.8732","-193.01","0.097","0","54745063","I","0.024","0.024","0.024","0.024","B1","ip1","5L1"
"378067","BPM.5L1.B2","26465.8732","-193.01","-0.097","0","54745065","E","0.024","0.024","0.024","0.024","B2","ip1","5L1"
"272570","VABSB.5L1.C","26466.2042","-192.679","0.097","0","54744254","I","0.0315","0.0315","0.0315","0.0315","B1","ip1","5L1"
"1652409","VFCDO.B5L1.B","26466.2042","-192.679","0.097","0","54760037","I","0.0315","0.0315","0.0315","0.0315","B1","ip1","5L1"
"1652405","VFCDO.B5L1.R","26466.2042","-192.679","-0.097","0","54760033","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","5L1"
"272570","VABSB.5L1.C","26466.2042","-192.679","-0.097","0","54744253","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","5L1"
"1652409","VFCDO.B5L1.B","26466.2242","-192.659","0.097","0","54760038","I","0.0315","0.0315","0.0315","0.0315","B1","ip1","5L1"
"1652405","VFCDO.B5L1.R","26466.2242","-192.659","-0.097","0","54760034","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","5L1"
"1053103","VMABC.5L1.R","26466.2242","-192.659","-0.097","0","54757893","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","5L1"
"1053107","VMABD.5L1.B","26466.2242","-192.659","0.097","0","54757897","I","0.0315","0.0315","0.0315","0.0315","B1","ip1","5L1"
"1053107","VMABD.5L1.B","26466.4842","-192.399","0.097","0","54757898","I","0.0315","0.0315","0.0315","0.0315","B1","ip1","5L1"
"1053103","VMABC.5L1.R","26466.4842","-192.399","-0.097","0","54757894","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","5L1"
"641019","VVGST.B5L1.B","26466.4842","-192.399","0.097","0","54754825","I","0.0315","0.0315","0.0315","0.0315","B1","ip1","5L1"
"641015","VVGST.B5L1.R","26466.4842","-192.399","-0.097","0","54754821","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","5L1"
"641019","VVGST.B5L1.B","26466.5592","-192.324","0.097","0","54754826","I","0.0315","0.0315","0.0315","0.0315","B1","ip1","5L1"
"641015","VVGST.B5L1.R","26466.5592","-192.324","-0.097","0","54754822","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","5L1"
"1053111","VMACC.5L1.B","26466.5592","-192.324","0.097","0","54757901","I","0.0315","0.0315","0.0315","0.0315","B1","ip1","5L1"
"1053115","VMACD.5L1.R","26466.5592","-192.324","-0.097","0","54757905","E","0.0315","0.0315","0.0315","0.0315","B2","ip1","5L1"
"272570","VABSB.5L1.C","26466.8592","-192.024","0.097","0","54744256","I","0.04","0.04","0.04","0.04","B1","ip1","5L1"
"1053111","VMACC.5L1.B","26466.8592","-192.024","0.097","0","54757902","I","0.04","0.04","0.04","0.04","B1","ip1","5L1"
